VariantLabel,FWPattern,HWPattern,Realization,SegmentIndex,SandFrac2D,UpperHalfSandFrac,LowerHalfSandFrac,AcrossFaultSandConnected2D,VerticalSandConnected2D,MaxSandObjectX2D,MaxSandObjectZ2D,NumMaterialDomains,NumClayDomains,MeanPsmear,MinPsmear,MaxPsmear,NumContinuousSmearDomains,TopClayDomainCount,MiddleClayDomainCount,MiddleClayOwnsAnyDomain,TopClayPsmear,MiddleClayPsmear
uniform_SCSC,SCSC,S,1,1,0.2512,0.483,0.0194,0,0,0.53,0.53,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,1,2,0.2851,0.505,0.0652,0,0,0.75,0.75,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,1,3,0.4006,0.665,0.1362,0,0,0.85,0.85,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,1,4,0.3703,0.6256,0.115,0,0,0.82,0.82,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,1,5,0.0105,0.021,0,0,0,0.14,0.14,2,1,1,1,1,1,1,0,0,1,1
uniform_SCSC,SCSC,S,1,6,0.0253,0.0506,0,0,0,0.22,0.22,2,1,1,1,1,1,1,0,0,1,1
uniform_SCSC,SCSC,S,1,7,0.0105,0.021,0,0,0,0.14,0.14,2,1,1,1,1,1,1,0,0,1,1
uniform_SCSC,SCSC,S,1,8,0.6564,0.7956,0.5172,0,0,0.99,0.99,5,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,1,9,0.0105,0.021,0,0,0,0.14,0.14,2,1,1,1,1,1,1,0,0,1,1
uniform_SCSC,SCSC,S,1,10,0.0153,0.0306,0,0,0,0.17,0.17,2,1,1,1,1,1,1,0,0,1,1
uniform_SCSC,SCSC,S,1,11,0.2278,0.425,0.0306,0,0,0.67,0.67,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,2,1,0.6441,0.7812,0.507,0,0,0.98,0.98,5,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,2,2,0.1485,0.295,0.002,0,0,0.54,0.54,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,2,3,0.099,0.198,0,0,0,0.44,0.44,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,2,4,0.5576,0.7256,0.3896,0,0,0.94,0.94,5,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,2,5,0.0105,0.021,0,0,0,0.14,0.14,2,1,1,1,1,1,1,0,0,1,1
uniform_SCSC,SCSC,S,2,6,0.0091,0.0182,0,0,0,0.13,0.13,2,1,1,1,1,1,1,0,0,1,1
uniform_SCSC,SCSC,S,2,7,0.3074,0.59,0.0248,0,0,0.55,0.55,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,2,8,0.337,0.6402,0.0338,0,0,0.85,0.52,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,2,9,0.2927,0.515,0.0704,0,0,0.76,0.76,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,2,10,0.3251,0.5702,0.08,0,0,0.76,0.76,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,2,11,0.3806,0.626,0.1352,0,0,0.85,0.85,4,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,3,1,0.0105,0.021,0,0,0,0.14,0.14,2,1,1,1,1,1,1,0,0,1,1
uniform_SCSC,SCSC,S,3,2,0.5576,0.7256,0.3896,0,0,0.94,0.94,5,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,3,3,0.0946,0.1892,0,0,0,0.43,0.43,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,3,4,0.1953,0.375,0.0156,0,0,0.62,0.62,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,3,5,0.3716,0.6122,0.131,0,0,0.85,0.85,4,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,3,6,0.2481,0.4662,0.03,0,0,0.63,0.63,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,3,7,0.2346,0.435,0.0342,0,0,0.68,0.68,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,3,8,0.2733,0.5156,0.031,0,0,0.62,0.62,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,3,9,0.4372,0.6632,0.2112,0,0,0.89,0.89,5,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,4,1,0.6156,0.767,0.4642,0,0,0.97,0.97,5,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,4,2,0.2743,0.52,0.0286,0,0,0.72,0.52,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,4,3,0.3684,0.606,0.1308,0,0,0.84,0.84,4,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,4,4,0.3069,0.59,0.0238,0,0,0.57,0.53,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,4,5,0.3177,0.5522,0.0832,0,0,0.77,0.77,4,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,4,6,0.208,0.395,0.021,0,0,0.64,0.64,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,4,7,0.3156,0.568,0.0632,0,0,0.72,0.72,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,4,8,0.2775,0.495,0.06,0,0,0.74,0.74,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,4,9,0.154,0.305,0.003,0,0,0.55,0.55,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,4,10,0.4378,0.636,0.2396,0,0,0.87,0.87,5,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,4,11,0.285,0.505,0.065,0,0,0.75,0.75,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,5,1,0.6343,0.7712,0.4974,0,0,0.97,0.97,5,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,5,2,0.4589,0.6506,0.2672,0,0,0.88,0.88,5,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,5,3,0.5452,0.7292,0.3612,0,0,0.94,0.94,5,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,5,4,0.099,0.198,0,0,0,0.44,0.44,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,6,1,0.4013,0.6482,0.1544,0,0,0.88,0.88,4,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,6,2,0.2237,0.4256,0.0218,0,0,0.55,0.52,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,6,3,0.3199,0.606,0.0338,0,0,0.85,0.52,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,6,4,0.4768,0.676,0.2776,0,0,0.9,0.9,5,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,6,5,0.6078,0.743,0.4726,0,0,0.95,0.95,5,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,6,6,0.2425,0.4606,0.0244,0,0,0.6,0.6,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,6,7,0.0496,0.0992,0,0,0,0.31,0.31,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,6,8,0.6105,0.753,0.468,0,0,0.96,0.96,5,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,6,9,0.0105,0.021,0,0,0,0.14,0.14,2,1,1,1,1,1,1,0,0,1,1
uniform_SCSC,SCSC,S,6,10,0.0091,0.0182,0,0,0,0.13,0.13,2,1,1,1,1,1,1,0,0,1,1
uniform_SCSC,SCSC,S,6,11,0.1596,0.315,0.0042,0,0,0.56,0.56,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,6,12,0.3711,0.6132,0.129,0,0,0.84,0.84,4,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,7,1,0.0351,0.0702,0,0,0,0.26,0.26,2,1,1,1,1,1,1,0,0,1,1
uniform_SCSC,SCSC,S,7,2,0.3822,0.624,0.1404,0,0,0.86,0.86,4,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,7,3,0.4502,0.686,0.2144,0,0,0.91,0.91,5,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,7,4,0.3864,0.626,0.1468,0,0,0.86,0.86,4,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,7,5,0.6306,0.7812,0.48,0,0,0.98,0.98,5,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,7,6,0.6676,0.815,0.5202,1,1,1,1,5,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,7,7,0.3471,0.593,0.1012,0,0,0.8,0.8,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,7,8,0.099,0.198,0,0,0,0.44,0.44,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,7,9,0.2158,0.4156,0.016,0,0,0.52,0.52,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,8,1,0.2407,0.4612,0.0202,0,0,0.51,0.51,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,8,2,0.2556,0.465,0.0462,0,0,0.71,0.71,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,8,3,0.3441,0.614,0.0742,0,0,0.74,0.74,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,8,4,0.3711,0.6132,0.129,0,0,0.84,0.84,4,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,8,5,0.3199,0.606,0.0338,0,0,0.85,0.52,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,8,6,0.2878,0.5506,0.025,0,0,0.57,0.57,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,8,7,0.4148,0.6482,0.1814,0,0,0.88,0.88,5,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,8,8,0.3596,0.6056,0.1136,0,0,0.82,0.82,4,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,8,9,0.282,0.5356,0.0284,0,0,0.6,0.6,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,8,10,0.2628,0.475,0.0506,0,0,0.72,0.72,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,8,11,0.2445,0.4556,0.0334,0,0,0.65,0.65,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,8,12,0.4216,0.6732,0.17,0,0,0.9,0.9,4,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,8,13,0.2954,0.527,0.0638,0,0,0.73,0.73,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,9,1,0.604,0.757,0.451,0,0,0.96,0.96,5,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,9,2,0.1953,0.375,0.0156,0,0,0.62,0.62,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,9,3,0.4068,0.636,0.1776,0,0,0.87,0.87,5,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,9,4,0.099,0.198,0,0,0,0.44,0.44,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,9,5,0.021,0.042,0,0,0,0.2,0.2,2,1,1,1,1,1,1,0,0,1,1
uniform_SCSC,SCSC,S,9,6,0.1711,0.335,0.0072,0,0,0.58,0.58,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,9,7,0.4005,0.6522,0.1488,0,0,0.87,0.87,4,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,9,8,0.3543,0.5892,0.1194,0,0,0.83,0.83,4,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,9,9,0.2941,0.5406,0.0476,0,0,0.68,0.68,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,9,10,0.3663,0.6122,0.1204,0,0,0.83,0.83,4,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,9,11,0.436,0.6382,0.2338,0,0,0.87,0.87,5,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,9,12,0.6564,0.7956,0.5172,0,0,0.99,0.99,5,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,10,1,0.3237,0.6132,0.0342,0,0,0.86,0.52,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,10,2,0.2471,0.466,0.0282,0,0,0.71,0.52,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,10,3,0.337,0.568,0.106,0,0,0.81,0.81,4,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,10,4,0.2977,0.5652,0.0302,0,0,0.76,0.52,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,10,5,0.286,0.5356,0.0364,0,0,0.64,0.64,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,10,6,0.3867,0.6306,0.1428,0,0,0.86,0.86,4,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,10,7,0.2809,0.507,0.0548,0,0,0.71,0.71,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,10,8,0.4879,0.6732,0.3026,0,0,0.9,0.9,5,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,10,9,0.3721,0.616,0.1282,0,0,0.84,0.84,4,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,10,10,0.2214,0.4242,0.0186,0,0,0.57,0.57,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,11,1,0.3529,0.5906,0.1152,0,0,0.82,0.82,4,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,11,2,0.3199,0.606,0.0338,0,0,0.85,0.52,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,11,3,0.1081,0.2162,0,0,0,0.46,0.46,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,11,4,0.0091,0.0182,0,0,0,0.13,0.13,2,1,1,1,1,1,1,0,0,1,1
uniform_SCSC,SCSC,S,11,5,0.6071,0.767,0.4472,0,0,0.97,0.97,5,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,11,6,0.1081,0.2162,0,0,0,0.46,0.46,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,11,7,0.099,0.198,0,0,0,0.44,0.44,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,11,8,0.268,0.507,0.029,0,0,0.73,0.52,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,11,9,0.3199,0.606,0.0338,0,0,0.85,0.52,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,11,10,0.3782,0.6182,0.1382,0,0,0.85,0.85,4,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,11,11,0.2411,0.4556,0.0266,0,0,0.67,0.52,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,12,1,0.0105,0.021,0,0,0,0.14,0.14,2,1,1,1,1,1,1,0,0,1,1
uniform_SCSC,SCSC,S,12,2,0.2911,0.532,0.0502,0,0,0.69,0.69,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,12,3,0.0105,0.021,0,0,0,0.14,0.14,2,1,1,1,1,1,1,0,0,1,1
uniform_SCSC,SCSC,S,12,4,0.3439,0.5792,0.1086,0,0,0.82,0.82,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,12,5,0.3604,0.6882,0.0326,0,0,0.82,0.52,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,12,6,0.6419,0.8002,0.4836,0,0,0.99,0.99,5,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,12,7,0.4119,0.68,0.1438,0,0,0.86,0.86,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,12,8,0.3199,0.606,0.0338,0,0,0.85,0.52,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,12,9,0.4269,0.6822,0.1716,0,0,0.9,0.9,4,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,12,10,0.321,0.5706,0.0714,0,0,0.74,0.74,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,12,11,0.0666,0.1332,0,0,0,0.36,0.36,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,13,1,0.2257,0.4332,0.0182,0,0,0.48,0.48,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,13,2,0.3727,0.6352,0.1102,0,0,0.81,0.81,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,13,3,0.0406,0.0812,0,0,0,0.28,0.28,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,13,4,0.1326,0.265,0.0002,0,0,0.51,0.51,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,13,5,0.3095,0.586,0.033,0,0,0.83,0.52,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,13,6,0.3567,0.5892,0.1242,0,0,0.83,0.83,4,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,14,1,0.2841,0.5272,0.041,0,0,0.66,0.66,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,14,2,0.3297,0.632,0.0274,0,0,0.69,0.52,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,14,3,0.2377,0.4572,0.0182,0,0,0.53,0.53,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,14,4,0.3199,0.606,0.0338,0,0,0.85,0.52,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,14,5,0.2381,0.4492,0.027,0,0,0.68,0.52,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,14,6,0.3151,0.5706,0.0596,0,0,0.71,0.71,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,14,7,0.0703,0.1406,0,0,0,0.37,0.37,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,14,8,0.397,0.626,0.168,0,0,0.86,0.86,5,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,14,9,0.311,0.589,0.033,0,0,0.83,0.52,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,15,1,0.3147,0.596,0.0334,0,0,0.84,0.52,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,15,2,0.3171,0.5456,0.0886,0,0,0.79,0.79,4,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,15,3,0.41,0.6482,0.1718,0,0,0.88,0.88,5,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,15,4,0.0105,0.021,0,0,0,0.14,0.14,2,1,1,1,1,1,1,0,0,1,1
uniform_SCSC,SCSC,S,15,5,0.367,0.6022,0.1318,0,0,0.84,0.84,4,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,15,6,0.3829,0.6322,0.1336,0,0,0.85,0.85,4,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,15,7,0.154,0.305,0.003,0,0,0.55,0.55,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,15,8,0.0105,0.021,0,0,0,0.14,0.14,2,1,1,1,1,1,1,0,0,1,1
uniform_SCSC,SCSC,S,16,1,0.0091,0.0182,0,0,0,0.13,0.13,2,1,1,1,1,1,1,0,0,1,1
uniform_SCSC,SCSC,S,16,2,0.2486,0.4652,0.032,0,0,0.64,0.64,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,16,3,0.177,0.345,0.009,0,0,0.59,0.59,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,16,4,0.2502,0.4802,0.0202,0,0,0.51,0.51,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,16,5,0.5626,0.7392,0.386,0,0,0.95,0.95,5,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,16,6,0.3199,0.606,0.0338,0,0,0.85,0.52,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,16,7,0.5777,0.7292,0.4262,0,0,0.94,0.94,5,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,16,8,0.2145,0.405,0.024,0,0,0.65,0.65,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,16,9,0.3199,0.606,0.0338,0,0,0.85,0.52,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,17,1,0.3096,0.593,0.0262,0,0,0.66,0.52,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,17,2,0.2701,0.485,0.0552,0,0,0.73,0.73,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,17,3,0.3225,0.6156,0.0294,0,0,0.74,0.52,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,17,4,0.2485,0.455,0.042,0,0,0.7,0.7,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,17,5,0.4035,0.6482,0.1588,0,0,0.88,0.88,4,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,17,6,0.2646,0.4906,0.0386,0,0,0.66,0.66,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,17,7,0.6754,0.8002,0.5506,0,0,0.99,0.99,5,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,17,8,0.2629,0.485,0.0408,0,0,0.67,0.67,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,18,1,0.3621,0.6006,0.1236,0,0,0.84,0.84,4,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,18,2,0.2016,0.385,0.0182,0,0,0.63,0.63,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,18,3,0.1956,0.371,0.0202,0,0,0.51,0.51,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,18,4,0.0105,0.021,0,0,0,0.14,0.14,2,1,1,1,1,1,1,0,0,1,1
uniform_SCSC,SCSC,S,18,5,0.0105,0.021,0,0,0,0.14,0.14,2,1,1,1,1,1,1,0,0,1,1
uniform_SCSC,SCSC,S,18,6,0.0091,0.0182,0,0,0,0.13,0.13,2,1,1,1,1,1,1,0,0,1,1
uniform_SCSC,SCSC,S,18,7,0.4789,0.689,0.2688,0,0,0.91,0.91,5,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,19,1,0.4633,0.676,0.2506,0,0,0.9,0.9,5,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,19,2,0.6842,0.8248,0.5436,1,1,1,1,5,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,19,3,0.3691,0.6022,0.136,0,0,0.84,0.84,4,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,19,4,0.5874,0.743,0.4318,0,0,0.95,0.95,5,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,20,1,0.3137,0.5492,0.0782,0,0,0.76,0.76,4,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,20,2,0.0105,0.021,0,0,0,0.14,0.14,2,1,1,1,1,1,1,0,0,1,1
uniform_SCSC,SCSC,S,20,3,0.2832,0.5112,0.0552,0,0,0.71,0.71,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,20,4,0.6094,0.7712,0.4476,0,0,0.97,0.97,5,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,20,5,0.7066,0.815,0.5982,1,1,1,1,5,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,20,6,0.2969,0.5182,0.0756,0,0,0.75,0.75,4,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,20,7,0.0595,0.119,0,0,0,0.34,0.34,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,20,8,0.46,0.6632,0.2568,0,0,0.89,0.89,5,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,20,9,0.3199,0.606,0.0338,0,0,0.85,0.52,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,20,10,0.3089,0.539,0.0788,0,0,0.76,0.76,4,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,20,11,0.3237,0.6132,0.0342,0,0,0.86,0.52,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,20,12,0.4767,0.6732,0.2802,0,0,0.9,0.9,5,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,21,1,0.6175,0.757,0.478,0,0,0.96,0.96,5,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,21,2,0.3355,0.6302,0.0408,0,0,0.64,0.64,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,21,3,0.2145,0.405,0.024,0,0,0.65,0.65,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,21,4,0.3498,0.66,0.0396,0,0,0.63,0.63,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,21,5,0.3121,0.6,0.0242,0,0,0.61,0.52,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,21,6,0.0946,0.1892,0,0,0,0.43,0.43,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,21,7,0.7259,0.8248,0.627,1,1,1,1,5,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,21,8,0.2752,0.5052,0.0452,0,0,0.68,0.68,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,21,9,0.4789,0.689,0.2688,0,0,0.91,0.91,5,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,21,10,0.0153,0.0306,0,0,0,0.17,0.17,2,1,1,1,1,1,1,0,0,1,1
uniform_SCSC,SCSC,S,21,11,0.2691,0.51,0.0282,0,0,0.71,0.52,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,22,1,0.0561,0.1122,0,0,0,0.33,0.33,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,22,2,0.4944,0.6732,0.3156,0,0,0.9,0.9,5,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,22,3,0.7096,0.8248,0.5944,1,1,1,1,5,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,22,4,0.3422,0.602,0.0824,0,0,0.76,0.76,3,2,1,1,1,2,1,1,1,1,1
uniform_SCSC,SCSC,S,22,5,0.2377,0.454,0.0214,0,0,0.58,0.58,3,2,1,1,1,2,1,1,1,1,1
